rank,paper_id,title,published,primary_category,relevance_score,novelty_score,citation_count,citation_score,impact_proxy_score,recency_score,method_signal_score,final_score,brief_summary,url,pdf_url
1,2605.04922,Evolving Idea Graphs with Learnable Edits-and-Commits for Multi-Agent Scientific Ideation,2026-05-06T13:50:40Z,cs.MA,0.8006,1.0,,,0.5687,0.8667,0.3333,0.7656,"cs.MA: To this end, we introduce \textbf{Evolving Idea Graphs} (EIG), a graph-based multi-agent scientific ideation framework that can generate high-performance research ideas across various benchmark-native metrics, such as novelty, feasibility, and clarity. Method signal: LLM-empowered multi-agent systems offer new potential to accelerate scientific discovery by generating novel research ideas.",http://arxiv.org/abs/2605.04922v1,https://arxiv.org/pdf/2605.04922v1
2,2605.05104,Building informative materials datasets beyond targeted objectives,2026-05-06T16:39:01Z,cond-mat.mtrl-sci,0.3345,1.0,,,1.0,0.9,1.0,0.6905,"cond-mat.mtrl-sci: Here, we present a framework for dataset construction that maximizes informativeness for target properties of interest while preserving performance on untargeted ones. Method signal: Here, we present a framework for dataset construction that maximizes informativeness for target properties of interest while preserving performance on untargeted ones.",http://arxiv.org/abs/2605.05104v1,https://arxiv.org/pdf/2605.05104v1
3,2605.05985,BioResearcher: Scenario-Guided Multi-Agent for Translational Medicine,2026-05-07T10:33:43Z,cs.AI,0.3393,1.0,,,0.7875,0.9,0.5,0.6108,"cs.AI: Translational medicine turns underspecified development goals into evidence synthesis that must combine literature, trials, patents, and quantitative multi-omics analysis while preserving identifiers, uncertainty, and retrievable provenance. Method signal: General-purpose foundation models and off-the-shelf tool-augmented or multi-agent systems are not built for this: they tend to produce single-shot answers or run open-endedly, and fall short on the auditable, scenario-specific workflows that heterogeneous biomedical sources demand.",http://arxiv.org/abs/2605.05985v1,https://arxiv.org/pdf/2605.05985v1
4,2605.06607,AI CFD Scientist: Toward Open-Ended Computational Fluid Dynamics Discovery with Physics-Aware AI Agents,2026-05-07T17:27:23Z,physics.flu-dyn,0.5078,0.75,,,0.6937,0.9333,0.1667,0.5926,"physics.flu-dyn: We present AI CFD Scientist, an open-source AI scientist for computational fluid dynamics (CFD) that, to our knowledge, is the first to span literature-grounded ideation, validated execution, vision-based physics verification, source-code modification, and figure-grounded writing within a single inspectable workflow. Method signal: Recent LLM-based agents have closed substantial portions of the scientific discovery loop in software-only machine-learning research, in chemistry, and in biology.",http://arxiv.org/abs/2605.06607v1,https://arxiv.org/pdf/2605.06607v1
5,2605.05411,Creative Robot Tool Use by Counterfactual Reasoning,2026-05-06T20:10:28Z,cs.RO,0.2716,1.0,,,0.725,0.9,0.6667,0.5876,cs.RO: We propose a causal reasoning framework for creative robot tool use where a suitable tool for a task is correctly identified for use beyond its primary objectives. Method signal: We propose a causal reasoning framework for creative robot tool use where a suitable tool for a task is correctly identified for use beyond its primary objectives.,http://arxiv.org/abs/2605.05411v1,https://arxiv.org/pdf/2605.05411v1
6,2605.05921,Intentmaking and Sensemaking: Human Interaction with AI-Guided Mathematical Discovery,2026-05-07T09:30:25Z,cs.AI,0.5669,0.5,,,0.7169,0.9,0.3333,0.586,"cs.AI: In this paper, we present findings from a formative user study with 11 expert mathematicians who used AlphaEvolve, an evolutionary coding agent, to tackle advanced problems in their fields of expertise. Method signal: In this paper, we present findings from a formative user study with 11 expert mathematicians who used AlphaEvolve, an evolutionary coding agent, to tackle advanced problems in their fields of expertise.",http://arxiv.org/abs/2605.05921v1,https://arxiv.org/pdf/2605.05921v1
7,2605.05370,SPADE: Faster Drug Discovery by Learning from Sparse Data,2026-05-06T18:50:54Z,cs.LG,0.4746,0.75,,,0.5275,0.9,0.5,0.5827,"cs.LG: Our proposed algorithm, named SPADE, introduces a novel approach to ligand selection that requires only 40 tests on average to find 10 high-quality ligands. Method signal: Furthermore, we want methods that work for novel proteins for which we have no prior data.",http://arxiv.org/abs/2605.05370v1,https://arxiv.org/pdf/2605.05370v1
8,2605.05580,AlphaCrafter: A Full-Stack Multi-Agent Framework for Cross-Sectional Quantitative Trading,2026-05-07T01:58:30Z,cs.AI,0.1478,1.0,,,0.7188,0.9,1.0,0.5643,"cs.AI: We introduce AlphaCrafter, a full-stack multi-agent framework that closes this gap through a continuously adaptive factor-to-execution pipeline, designed to track and respond to evolving market conditions without manual intervention. Method signal: Prevailing approaches, however, optimize these components under static or isolated assumptions.",http://arxiv.org/abs/2605.05580v1,https://arxiv.org/pdf/2605.05580v1
9,2605.05460,Agentic Discovery of Exchange-Correlation Density Functionals,2026-05-06T21:36:43Z,cs.AI,0.1782,1.0,,,0.725,0.9,0.6667,0.5456,"cs.AI: The development of accurate exchange-correlation (XC) functionals remains a longstanding challenge in density functional theory (DFT). Method signal: Recent advances in large language models enable a systematic, automated alternative to this human-driven design loop.",http://arxiv.org/abs/2605.05460v1,https://arxiv.org/pdf/2605.05460v1
10,2605.06170,DynT2I-Eval: A Dynamic Evaluation Framework for Text-to-Image Models,2026-05-07T12:53:51Z,cs.CV,0.0891,1.0,,,0.75,0.9,1.0,0.5426,"cs.CV: In this work, we propose DynT2I-Eval, a fully automated dynamic evaluation framework for T2I models. Method signal: In this work, we propose DynT2I-Eval, a fully automated dynamic evaluation framework for T2I models.",http://arxiv.org/abs/2605.06170v1,https://arxiv.org/pdf/2605.06170v1
11,2605.05662,XL-SafetyBench: A Country-Grounded Cross-Cultural Benchmark for LLM Safety and Cultural Sensitivity,2026-05-07T04:35:03Z,cs.CL,0.0833,1.0,,,0.875,0.9,0.8333,0.5421,"cs.CL: We introduce XL-SafetyBench. Method signal: Moreover, they rarely evaluate a model's ability to detect culturally embedded sensitivities as distinct from universal harms.",http://arxiv.org/abs/2605.05662v1,https://arxiv.org/pdf/2605.05662v1
