rank,paper_id,title,published,primary_category,relevance_score,novelty_score,citation_count,citation_score,impact_proxy_score,recency_score,method_signal_score,final_score,brief_summary,url,pdf_url
1,2605.06638,Can RL Teach Long-Horizon Reasoning to LLMs? Expressiveness Is Key,2026-05-07T17:48:42Z,cs.AI,0.7775,1.0,,,0.6937,0.9333,1.0,0.8473,"cs.AI: We introduce ScaleLogic, a synthetic logical reasoning framework that offers independent control over two axes of difficulty: the depth of the required proof planning (i.e., the horizon) and the expressiveness of the underlying logic. Method signal: Reinforcement learning (RL) has been applied to improve large language model (LLM) reasoning, yet the systematic study of how training scales with task difficulty has been hampered by the lack of controlled, scalable environments.",http://arxiv.org/abs/2605.06638v1,https://arxiv.org/pdf/2605.06638v1
2,2605.06623,MASPO: Joint Prompt Optimization for LLM-based Multi-Agent Systems,2026-05-07T17:35:26Z,cs.AI,0.7804,1.0,,,0.8438,0.9333,0.6667,0.8377,"cs.AI: To address this, we introduce MASPO, a novel framework designed to automatically and iteratively refine prompts across the entire system. Method signal: Large language model (LLM)-based Multi-agent systems (MAS) have shown promise in tackling complex collaborative tasks, where agents are typically orchestrated via role-specific prompts.",http://arxiv.org/abs/2605.06623v1,https://arxiv.org/pdf/2605.06623v1
3,2605.06639,Recursive Agent Optimization,2026-05-07T17:49:09Z,cs.LG,1.0,0.25,,,0.6794,0.9333,0.8333,0.7786,"cs.LG: We introduce Recursive Agent Optimization (RAO), a reinforcement learning approach for training recursive agents: agents that can spawn and delegate sub-tasks to new instantiations of themselves recursively. Method signal: We introduce Recursive Agent Optimization (RAO), a reinforcement learning approach for training recursive agents: agents that can spawn and delegate sub-tasks to new instantiations of themselves recursively.",http://arxiv.org/abs/2605.06639v1,https://arxiv.org/pdf/2605.06639v1
4,2605.06614,SkillOS: Learning Skill Curation for Self-Evolving Agents,2026-05-07T17:31:50Z,cs.AI,1.0,0.5,,,0.725,0.9333,0.1667,0.7688,"cs.AI: To tackle this challenge, we propose SkillOS, an experience-driven RL training recipe for learning skill curation in self-evolving agents. Method signal: LLM-based agents are increasingly deployed to handle streaming tasks, yet they often remain one-off problem solvers that fail to learn from past interactions.",http://arxiv.org/abs/2605.06614v1,https://arxiv.org/pdf/2605.06614v1
5,2605.06584,NeuroAgent: LLM Agents for Multimodal Neuroimaging Analysis and Research,2026-05-07T17:13:48Z,cs.AI,0.5262,0.75,,,0.6312,0.9333,0.8333,0.6581,"cs.AI: We present NeuroAgent, an LLM-driven agentic framework that automates key preprocessing and analysis steps for heterogeneous neuroimaging data, including sMRI, fMRI, dMRI, and PET, and supports interactive downstream analysis through natural-language queries. Method signal: We present NeuroAgent, an LLM-driven agentic framework that automates key preprocessing and analysis steps for heterogeneous neuroimaging data, including sMRI, fMRI, dMRI, and PET, and supports interactive downstream analysis through natural-language queries.",http://arxiv.org/abs/2605.06584v1,https://arxiv.org/pdf/2605.06584v1
6,2605.06527,STALE: Can LLM Agents Know When Their Memories Are No Longer Valid?,2026-05-07T16:31:15Z,cs.CL,0.4536,1.0,,,0.5687,0.9333,0.6667,0.6494,"cs.CL: To rigorously evaluate this capability, we introduce STALE, a benchmark of 400 expert-validated conflict scenarios (1,200 evaluation queries across three probing dimensions) spanning over 100 everyday topics with contexts up to 150K tokens. Method signal: Large Language Model (LLM) agents are increasingly expected to maintain coherent, long-term personalized memory, yet current benchmarks primarily measure static fact retrieval, overlooking the ability to revise stored beliefs when new evidence emerges.",http://arxiv.org/abs/2605.06527v1,https://arxiv.org/pdf/2605.06527v1
7,2605.06595,Cross-Modal Navigation with Multi-Agent Reinforcement Learning,2026-05-07T17:20:34Z,cs.RO,0.4527,1.0,,,0.6937,0.9333,0.3333,0.6344,cs.RO: Training a monolithic model is also challenging as rich multi-modal inputs induce complex representations and substantially enlarge the policy space. Method signal: Training a monolithic model is also challenging as rich multi-modal inputs induce complex representations and substantially enlarge the policy space.,http://arxiv.org/abs/2605.06595v1,https://arxiv.org/pdf/2605.06595v1
8,2605.06601,Patch2Vuln: Agentic Reconstruction of Vulnerabilities from Linux Distribution Binary Patches,2026-05-07T17:22:22Z,cs.CR,0.5175,1.0,,,0.5375,0.9333,0.1667,0.6235,"cs.CR: Security updates create a short but important window in which defenders and attackers can compare vulnerable and patched software. Method signal: This paper asks whether a language-model agent, restricted to local binary-derived evidence, can reconstruct the security meaning of Linux distribution updates.",http://arxiv.org/abs/2605.06601v1,https://arxiv.org/pdf/2605.06601v1
9,2605.06635,Cited but Not Verified: Parsing and Evaluating Source Attribution in LLM Deep Research Agents,2026-05-07T17:46:45Z,cs.CL,0.285,1.0,,,0.6,0.9333,1.0,0.6116,"cs.CL: We introduce the first source attribution evaluation framework that uses a reproducible AST parser to extract and evaluate inline citations from LLM-generated Markdown reports at scale. Method signal: Large language models (LLMs) power deep research agents that synthesize information from hundreds of web sources into cited reports, yet these citations cannot be reliably verified.",http://arxiv.org/abs/2605.06635v1,https://arxiv.org/pdf/2605.06635v1
10,2605.06544,CCL-Bench 1.0: A Trace-Based Benchmark for LLM Infrastructure,2026-05-07T16:40:39Z,cs.DC,0.1709,1.0,,,0.875,0.9333,1.0,0.6015,"cs.DC: We present CCL-Bench, a trace-based benchmark that addresses the limitations of existing benchmarks by recording reusable evidence for every ML workload. Method signal: Evaluative claims about LLM infrastructure -- ``workload X is fastest on hardware Y with software Z'' -- depend on a complex configuration space spanning hardware accelerators, interconnect bandwidth, software frameworks, parallelism plans, and communication libraries.",http://arxiv.org/abs/2605.06544v1,https://arxiv.org/pdf/2605.06544v1
