rank,paper_id,title,published,primary_category,relevance_score,novelty_score,citation_count,citation_score,impact_proxy_score,recency_score,method_signal_score,final_score,brief_summary,url,pdf_url
1,2605.05580,AlphaCrafter: A Full-Stack Multi-Agent Framework for Cross-Sectional Quantitative Trading,2026-05-07T01:58:30Z,cs.AI,0.7392,1.0,,,0.7188,0.9,1.0,0.8305,"cs.AI: We introduce AlphaCrafter, a full-stack multi-agent framework that closes this gap through a continuously adaptive factor-to-execution pipeline, designed to track and respond to evolving market conditions without manual intervention. Method signal: Prevailing approaches, however, optimize these components under static or isolated assumptions.",http://arxiv.org/abs/2605.05580v1,https://arxiv.org/pdf/2605.05580v1
2,2605.05409,Agentic Retrieval-Augmented Generation for Financial Document Question Answering,2026-05-06T19:59:51Z,cs.AI,0.5833,1.0,,,0.5687,0.9,0.8333,0.7211,"cs.AI: We propose FinAgent-RAG, an agentic RAG framework that orchestrates iterative retrieval-reasoning loops with self-verification, specifically engineered for the precision requirements of financial numerical reasoning. Method signal: Existing retrieval-augmented generation (RAG) approaches adopt a single-pass retrieve-then-generate paradigm that struggles with the compositional reasoning chains prevalent in financial analysis.",http://arxiv.org/abs/2605.05409v1,https://arxiv.org/pdf/2605.05409v1
3,2605.05739,Multi-Dimensional Behavioral Evaluation of Agentic Stock Prediction Systems Using LLM Judges with Closed-Loop Reinforcement Learning Feedback,2026-05-07T06:31:34Z,cs.LG,0.2281,1.0,,,0.8438,0.9,0.8333,0.6025,"cs.LG: We present a behavioral evaluation framework that addresses this gap. Method signal: Agentic stock prediction systems make sequences of interdependent decisions (regime detection, pathway routing, reinforcement learning control) whose individual quality is hidden by aggregate metrics such as mean absolute percentage error (MAPE) or directional accuracy.",http://arxiv.org/abs/2605.05739v1,https://arxiv.org/pdf/2605.05739v1
4,2605.06357,Memory Efficient Full-gradient Attacks (MEFA) Framework for Adversarial Defense Evaluations,2026-05-07T14:35:04Z,cs.LG,0.1628,1.0,,,0.7812,0.9,1.0,0.5804,"cs.LG: Building on this insight, we introduce a memory-efficient full-gradient evaluation framework for stochastic purification defenses. Method signal: Building on this insight, we introduce a memory-efficient full-gradient evaluation framework for stochastic purification defenses.",http://arxiv.org/abs/2605.06357v1,https://arxiv.org/pdf/2605.06357v1
5,2605.06457,Beyond Task Success: Measuring Workflow Fidelity in LLM-Based Agentic Payment Systems,2026-05-07T15:50:26Z,cs.AI,0.2705,1.0,,,0.6475,0.9,0.3333,0.5422,"cs.AI: We introduce the Agentic Success Rate (ASR), a trajectory-fidelity metric that compares observed and expected agent execution sequences at the transition level, decomposing performance into Transition Recall and Transition Precision. Method signal: LLM-based multi-agent systems are increasingly deployed for payment workflows, yet prevailing metrics, Task Success Rate (TSR) and Agent Handoff F1-Score (HF1), capture only final outcomes or unordered routing decisions.",http://arxiv.org/abs/2605.06457v1,https://arxiv.org/pdf/2605.06457v1
6,2605.06024,Strat-LLM: Stratified Strategy Alignment for LLM-based Stock Trading with Real-time Multi-Source Signals,2026-05-07T11:17:23Z,cs.AI,0.3417,1.0,,,0.475,0.9,0.1667,0.5317,"cs.AI: We propose Strat-LLM, a framework grounded in Stratified Strategy Alignment. Method signal: Large Language Models (LLMs) are evolving into autonomous trading agents, yet existing benchmarks often overlook the interplay between architectural reasoning and strategy consistency.",http://arxiv.org/abs/2605.06024v1,https://arxiv.org/pdf/2605.06024v1
7,2605.05482,FinRAG-12B: A Production-Validated Recipe for Grounded Question Answering in Banking,2026-05-06T22:04:44Z,cs.AI,0.2662,0.5,,,0.7875,0.9,0.8333,0.5112,"cs.AI: We present a unified, data-efficient framework for training grounded domain-specific LLMs that optimizes answer quality, citation grounding, and calibrated refusal under real-world deployment constraints. Method signal: Large language models (LLMs) are rapidly being adopted across various domains.",http://arxiv.org/abs/2605.05482v1,https://arxiv.org/pdf/2605.05482v1
8,2605.05662,XL-SafetyBench: A Country-Grounded Cross-Cultural Benchmark for LLM Safety and Cultural Sensitivity,2026-05-07T04:35:03Z,cs.CL,0.0,1.0,,,0.875,0.9,0.8333,0.5046,"cs.CL: We introduce XL-SafetyBench. Method signal: Moreover, they rarely evaluate a model's ability to detect culturally embedded sensitivities as distinct from universal harms.",http://arxiv.org/abs/2605.05662v1,https://arxiv.org/pdf/2605.05662v1
9,2605.06333,TinyBayes: Closed-Form Bayesian Inference via Jacobi Prior for Real-Time Image Classification on Edge Devices,2026-05-07T14:26:10Z,cs.CV,0.0,1.0,,,0.6625,0.9,1.0,0.4894,"cs.CV: Cocoa (Theobroma cacao) is a critical cash crop for millions of smallholder farmers in West Africa, where Cocoa Swollen Shoot Virus Disease (CSSVD) and anthracnose cause devastating yield losses. Method signal: Automated disease detection from leaf images is essential for early intervention, yet deploying such systems in resource-constrained settings demands models that are small, fast, and require no internet connectivity.",http://arxiv.org/abs/2605.06333v1,https://arxiv.org/pdf/2605.06333v1
10,2605.05017,Position: Embodied AI Requires a Privacy-Utility Trade-off,2026-05-06T15:16:05Z,cs.AI,0.0,0.75,,,0.725,0.8667,0.6667,0.4121,"cs.AI: To address these challenges, we propose Secure Privacy Integration in Next-generation Embodied AI (SPINE), a unified privacy-aware framework that treats privacy as a dynamic control signal governing cross-stage coupling throughout the entire EAI life cycle. Method signal: To address these challenges, we propose Secure Privacy Integration in Next-generation Embodied AI (SPINE), a unified privacy-aware framework that treats privacy as a dynamic control signal governing cross-stage coupling throughout the entire EAI life cycle.",http://arxiv.org/abs/2605.05017v1,https://arxiv.org/pdf/2605.05017v1
